Site_ID,Year of planting,Site_type,tree_species,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,gbh8,gbh9,gbh10,gbh11,height,Leaf_litter,Canopy_overlap,Foliage_score,0=,1=,2=,4=,8=,16=,24=,32=,Cane,Bamboo,Canopy_cover
HP36_P1B,NA,Benchmark,Litsea bourdillonii,16,0,0,0,0,0,0,0,0,0,0,8,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Lasianthus jackianus,11,0,0,0,0,0,0,0,0,0,0,4.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Cryptocarya wightii,94,0,0,0,0,0,0,0,0,0,0,20.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Litsea bourdillonii,16,0,0,0,0,0,0,0,0,0,0,6.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Litsea bourdillonii,11,0,0,0,0,0,0,0,0,0,0,5.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Phoebe lanceolata,11,0,0,0,0,0,0,0,0,0,0,4.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Cinnamomum malabathrum,10,0,0,0,0,0,0,0,0,0,0,4.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Actinodaphne tadulingamii,19,0,0,0,0,0,0,0,0,0,0,8.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Beilschmiedia wightii,12,0,0,0,0,0,0,0,0,0,0,5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Atalantia racemosa,12,0,0,0,0,0,0,0,0,0,0,4.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Myristica dactyloides,22,0,0,0,0,0,0,0,0,0,0,4,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Neolitsea zeylanica,10,0,0,0,0,0,0,0,0,0,0,6.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Clerodendrum infortunatum,21,0,0,0,0,0,0,0,0,0,0,6,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Dimocarpus longan,12,0,0,0,0,0,0,0,0,0,0,6.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Clerodendrum infortunatum,20,0,0,0,0,0,0,0,0,0,0,8.5,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
HP36_P1B,NA,Benchmark,Persea macarantha,15,0,0,0,0,0,0,0,0,0,0,6,7.5,1,8,1,1,1,1,1,1,1,1,0,0,80
