scientific_name,common_name,species_annotation_codes,eBird_codes,habitat,habit
Dicrurus leucophaeus,Ashy Drongo,AD,ASDR,RF,CAN
Muscicapa dauurica,Asian Brown Flycatcher,ABF,ABFL,OC,MID
Chalcophaps indica,Asian Emerald Dove,AED,AEDO,RF,GRD
Irena puella,Asian Fairy-bluebird,AFB,AFBL,RF,CAN
Eudynamys scolopaceus,Asian Koel,AK,ASKO,OC,MID
Hemipus picatus,Bar-winged Flycatcher-shrike,BWFS,BWFS,RF,CAN
Ictinaetus malaiensis,Black Eagle,BE,BLEA,RF,CAN
Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,BAOF,RF,UND
Oriolus xanthornus,Black-hooded Oriole,BHO,BHOR,OC,CAN
Hypothymis azurea,Black-naped Monarch,BNM,BNMO,RF,MID
Dinopium benghalense,Black-rumped Flameback,BRF,BRFL,OC,MID
Lonchura kelaarti,Black-throated Munia,BTM,BTMU,RF,GRD
Cyornis rubeculoides,Blue-throated Flycatcher,BTF,BTFL,RF,UND
Acrocephalus dumetorum,Blyth's Reed Warbler,BRW,BRWA,OC,UND
Dicrurus aeneus,Bronzed Drongo,BD,BRDR,RF,MID
Ketupa zeylonensis,Brown Fish-Owl,BFO,BFOW,RF,AQU
Lanius cristatus,Brown Shrike,BS,BRSH,OC,GRD
Strix leptogrammica,Brown Wood-owl,BWO,BRWO,RF,CAN
Muscicapa muttui,Brown-breasted Flycatcher,BBF,BBFL,RF,UND
Yungipicus nanus,Brown-capped Pygmy Woodpecker,BCPW,BCPW,OC,CAN
Alcippe poioicephala,Brown-cheeked Fulvetta,BCF,BCFU,RF,MID
Merops leschenaulti,Chestnut-headed Bee-eater,CHBE,CHBE,RF,AER
Dinopium javanense,Common Flameback,CF,COFL,RF,MID
Hierococcyx varius,Common Hawk -Cuckoo,CHC,CHCU,OC,CAN
Aegithina tiphia,Common Iora,CI,COIO,OC,MID
Carpodacus erythrinus,Common Rosefinch,CR,CORO,OC,CAN
Orthotomus sutorius,Common Tailorbird,CT,COTA,OC,UND
Accipiter trivirgatus,Crested Goshawk,CG,CRGO,RF,CAN
Spilornis cheela,Crested Serpent-Eagle,CSE,CSEA,RF,GRD
