"Site","Date","Restoration.type","totRF","totOC","propRF","propOC"
"HP36P1B",20200304,"Benchmark",19,7,0.730769230769231,0.269230769230769
"HP36P1B",20200311,"Benchmark",18,2,0.9,0.1
"HP36P1B",20200325,"Benchmark",17,1,0.944444444444444,0.0555555555555556
"HP36P1B",20201212,"Benchmark",19,3,0.863636363636364,0.136363636363636
"HP36P1B",20201215,"Benchmark",17,1,0.944444444444444,0.0555555555555556
"HP36P1B",20201219,"Benchmark",15,3,0.833333333333333,0.166666666666667
"HP36P3B",20200304,"Benchmark",15,2,0.882352941176471,0.117647058823529
"HP36P3B",20200311,"Benchmark",22,2,0.916666666666667,0.0833333333333334
"HP36P3B",20200325,"Benchmark",17,0,1,0
"HP36P3B",20201212,"Benchmark",17,1,0.944444444444444,0.0555555555555556
"HP36P3B",20201214,"Benchmark",19,4,0.826086956521739,0.173913043478261
"HP36P3B",20201217,"Benchmark",5,0,1,0
"HP36P4B",20200304,"Benchmark",21,3,0.875,0.125
"HP36P4B",20200311,"Benchmark",18,2,0.9,0.1
"HP36P4B",20200325,"Benchmark",23,3,0.884615384615385,0.115384615384615
"HP36P4B",20201213,"Benchmark",31,3,0.911764705882353,0.0882352941176471
"HP36P4B",20201216,"Benchmark",22,1,0.956521739130435,0.0434782608695652
"HP36P4B",20201218,"Benchmark",21,0,1,0
"HP37P1B",20200307,"Benchmark",28,2,0.933333333333333,0.0666666666666667
"HP37P1B",20200312,"Benchmark",17,6,0.739130434782609,0.260869565217391
"HP37P1B",20200314,"Benchmark",21,1,0.954545454545455,0.0454545454545454
"HP37P1B",20201212,"Benchmark",14,2,0.875,0.125
"HP37P1B",20201215,"Benchmark",14,0,1,0
"HP37P1B",20201218,"Benchmark",19,2,0.904761904761905,0.0952380952380952
"HP37P2B",20200307,"Benchmark",17,0,1,0
"HP37P2B",20200312,"Benchmark",18,5,0.782608695652174,0.217391304347826
"HP37P2B",20200314,"Benchmark",14,1,0.933333333333333,0.0666666666666667
"HP37P2B",20201212,"Benchmark",19,1,0.95,0.05
"HP37P2B",20201215,"Benchmark",27,0,1,0
"HP37P2B",20201219,"Benchmark",17,1,0.944444444444444,0.0555555555555556
