"Site","Species","chao","chao.se","jack1","jack1.se","jack2","boot","boot.se","n","Restoration.type"
"HP36P1B",34,40.9444444444444,5.85423943322818,42.3333333333333,4.31405970184826,45.8,37.9464806241427,2.27029107864116,6,"Benchmark"
"HP36P3B",34,51.6041666666667,13.7998818999073,44.8333333333333,5.54025671286489,51.3666666666667,38.7600951646091,2.80909714574068,6,"Benchmark"
"HP36P4B",40,50.0833333333333,8.20915816498731,49.1666666666667,6.90209308028289,53.8333333333333,44.2052469135802,4.04296454585076,6,"Benchmark"
"HP37P1B",36,49.8888888888889,12.4639397558991,44.3333333333333,5.93950989373515,49.4,39.717228223594,3.56333661016824,6,"Benchmark"
"HP37P2B",41,65.0833333333333,16.6300013362731,55.1666666666667,7.96694560181141,63.8333333333333,47.1759259259259,3.92380708021476,6,"Benchmark"
"HP37P4B",29,33.8214285714286,4.2981325187444,36.5,5.1234753829798,38.7666666666667,32.7306241426612,3.72354777687354,6,"Benchmark"
"HP4008R",37,52.625,11.0190412846732,49.5,5.80947501931113,56.3,42.6182484567901,2.98992945388841,6,"Active"
"HP4008U",47,59.0416666666667,7.78844630419529,61.1666666666667,7.75492674942123,67.1666666666667,53.6379458161866,3.94390151434014,6,"Passive"
"INBS04R",32,42.0833333333333,8.20915816498731,41.1666666666667,4.57954388801136,45.8333333333333,36.1881215706447,2.5881073014081,6,"Active"
"INBS04U",28,33.3777777777778,4.37123657454869,36.8,5.12249938994628,39.35,32.35648,3.4492378882298,5,"Passive"
"INME03R",34,42.8020833333333,6.50581608283279,44.8333333333333,5.83333333333333,49.2333333333333,39.1369598765432,3.60362717598435,6,"Active"
"INME03U",36,46.2083333333333,7.28072095121386,47.6666666666667,6.93221144769514,52.7333333333333,41.4731867283951,4.03649667371203,6,"Passive"
"INOA03R",36,41.6018518518519,4.52766837371085,45.1666666666667,4.93006648591635,47.7,40.5549125514403,3.29369212194097,6,"Active"
"IPTO04R",33,48.625,11.0190412846732,45.5,8.2915619758885,52.3,38.6039951989026,4.94060533630649,6,"Active"
"IPTO04U",41,46.0416666666667,4.10201931979848,50.1666666666667,5.09629495047355,52.1666666666667,45.6299725651578,3.26826881838171,6,"Passive"
"IPTO06R",32,45.6111111111111,9.87017059070977,43.6666666666667,5.45180907793204,49.8,37.2663751714678,2.93569443447494,6,"Active"
"IPTO06U",37,50.3333333333333,8.94427190999916,50.3333333333333,7.14920352984241,56.7333333333333,43.1416323731139,4.17628543372846,6,"Passive"
"OLCAP2B",44,56.0416666666667,7.78844630419529,58.1666666666667,7.8616509433805,64.1666666666667,50.6562285665295,4.51839815123757,6,"Benchmark"
"OLCAP3B",27,37.0833333333333,8.20915816498731,36.1666666666667,6.26941429126801,40.8333333333333,31.2050968792867,4.09870089440807,6,"Benchmark"
"OLV110R",35,42.8240740740741,5.7846003100333,45.8333333333333,7.46287105907937,49.7,40.1833847736626,4.76850719136677,6,"Active"
"OLV110U",32,37.952380952381,5.01859193222395,40.3333333333333,4.68448977418507,43.2666666666667,36.0784465020576,3.052842811665,6,"Passive"
"OLV208R",31,42.7361111111111,8.77909807522409,41.8333333333333,7.12000312109794,47.3,35.9613768861454,4.05031053830719,6,"Active"
"OLV208U",27,38.7361111111111,8.77909807522409,37.8333333333333,6.37921973633488,43.3,31.9314343278464,3.71738692991953,6,"Passive"
"PANMP1B",42,50.5714285714286,6.59976145871602,52,4.83045891539648,56.2666666666667,46.7666323731139,2.98951891851592,6,"Benchmark"
"PANMP2B",37,40.4722222222222,3.04949946982466,45.3333333333333,4.50308536203543,45.6,41.4406935871056,3.4623436610632,6,"Benchmark"
"PANMP3B",47,48.8560606060606,2.03415535395088,52.8333333333333,3.14024061356946,51.6333333333333,50.448816872428,2.67939899684555,6,"Benchmark"
"SEL107R",34,46,9.4233751915118,44,5,49.3333333333333,38.5712448559671,2.70136878383916,6,"Active"
"SEL107U",37,50.6111111111111,9.87017059070977,48.6666666666667,5.45180907793204,54.8,42.3004329561043,2.77131126658124,6,"Passive"
"SEL207R",38,42.6296296296296,3.94772270501716,46.3333333333333,4.50308536203543,48.2,42.2526791838134,2.94147359552911,6,"Active"
"SEL207U",29,35.75,6.00936768720304,36.5,5.28362249471579,39.8333333333333,32.6005229766804,3.26252778041668,6,"Passive"
"STIN02R",32,47.2380952380952,10.3179138222326,45.3333333333333,8.02772971919486,52.2666666666667,38.0266418038409,4.57468760935699,6,"Active"
"STIN02U",38,62.0833333333333,16.6300013362731,52.1666666666667,6.8414585839246,60.8333333333333,44.1832990397805,3.26213975528382,6,"Passive"
"THEN10U",36,38.962962962963,2.8858272264073,42.6666666666667,2.98142396999972,43.2,39.5543981481482,2.35925824857165,6,"Passive"
"UPMAP1B",49,67.8020833333333,11.7224907224096,64.8333333333333,8.257992761225,73.2333333333333,56.254308127572,4.46788675405193,6,"Benchmark"
"UPMAP3B",40,48.5714285714286,6.59976145871602,50,6.1913918736689,54.2666666666667,44.7082261659808,3.38294827801573,6,"Benchmark"
"UPMAP4B",33,36.75,3.40036762718386,40.5,4.03112887414927,41.7,36.8084490740741,2.50368859133735,6,"Benchmark"
"UPMAP5B",32,38.9444444444444,5.85423943322818,40.3333333333333,4.31405970184826,43.8,35.9410365226337,2.38254969037998,6,"Benchmark"
"UPMAP6B",38,42.21875,3.78861949729879,45.5,4.03112887414927,47.2333333333333,41.8469650205761,2.90377563570862,6,"Benchmark"
"VAR210R",33,73.8333333333333,36.7546293380545,44.6666666666667,6.93221144769514,52.9333333333333,38.0116598079561,3.65301440657435,6,"Active"
"VAR310R",40,55.625,11.0190412846732,52.5,7.66485485837795,59.3,45.6224494170096,4.31071586043864,6,"Active"
"VAR310U",36,44.1666666666667,5.82165497660817,47.6666666666667,7.50925355071254,51.6666666666667,41.6501628943759,4.81710673451498,6,"Passive"
"VAR410R",33,37.21875,3.78861949729879,40.5,5.1234753829798,42.2333333333333,36.7587019890261,2.91696598623031,6,"Active"
"VAR410U",32,43.7361111111111,8.77909807522409,42.8333333333333,7.12000312109794,48.3,36.9640989368999,4.12126203866108,6,"Passive"
