"NMDS1","NMDS2","NMDS3","NMDS4","NMDS5","NMDS6"
-647834.633676999,16005.1835683571,-11623.9105790006,25343.1644777454,1008.01442756883,35440.7026090951
-420155.169412761,23508.0195440505,29752.6660969211,57471.7608090261,12697.6289381981,34841.6796665241
-391142.852670057,121031.435498941,-21307.5206883909,922.710364909949,79836.6586935714,36060.0418966277
-407594.754061648,110403.906385088,33600.7889171982,-7465.68132472467,48106.0718223349,6365.55253822585
-448411.864072898,-11944.2539645821,-251.343136742419,-14221.4844520993,38246.8530720092,-27764.859427393
-586204.907162456,-29069.0396203353,-18615.776740869,-6827.76295250157,-114423.673956642,-80245.86762526
-574293.949990853,-41351.4300858931,-132271.667614598,55371.4840792907,-160313.832225607,-55877.1676221587
414328.128858146,-259091.855787375,-624616.182638798,-118421.446529648,-1302.54137574378,8566.61384261168
-546606.824174373,17672.4860439149,-18147.4224188539,41804.1054260954,42009.2781808466,18132.4502035398
-638997.214456506,9725.21516002916,-9684.5733709506,39889.6773532381,-44016.9951710755,24599.1225328805
-549263.421767696,40527.5411917999,-31727.9514100374,56279.3356117779,-52923.5748929058,-9451.73443247252
-450110.014519976,-54451.3817843622,48916.8794891433,83894.7806315586,-23218.6799354659,5791.83178429016
312549.421361004,-231691.662528505,-360821.634809475,-46616.0483283639,-126562.198584132,28235.331578374
-488537.415791105,2508.54638722141,-52036.4487234138,61507.6109564066,-83580.7338799876,-25333.8271305569
946530.209758186,-409425.888429674,474985.53734906,-285082.548678186,-49646.1329673118,17187.7546548874
840744.225094476,-486377.07375336,422711.344495586,-30598.0673640592,-71123.6712794915,963.771720139642
-332540.730492882,115361.280209135,250557.216792829,-313958.039683596,41634.5444756761,-31388.705396072
430316.023289125,-376103.318726734,400571.111086772,39741.4686932719,55830.1676257743,100041.432065924
676243.402088819,-411948.389417281,451675.667836832,-59974.8754234035,-8424.77093653579,-98971.7322044716
10831.2837253619,13273.7344981879,140254.836592639,-43419.1803863711,6449.99991388266,8113.56751875383
-177008.033029247,110103.504547425,93074.0672208319,8886.90366560344,25764.2598038319,40907.0883328001
-78311.1357181114,52996.5413813924,268038.825640033,10417.5718731937,92891.7110924014,34330.4661183154
-329165.752710664,164412.821320086,-6122.75989644427,-519.459576131897,104721.553768511,-31759.6024912344
-393985.565375703,173299.078745314,109394.246353053,1797.71695501966,40981.722555888,-93025.0943708248
283210.524026874,-236540.987223485,294712.941041517,254913.162781965,150648.830750427,-122167.190316164
1307694.51451077,696301.840920091,-116791.085992251,-59246.683767043,39658.5236425673,-56989.5528095399
1120504.36748622,661256.540016643,203990.796465224,5452.57197572553,-138702.507659142,15141.1064924755
2005882.8122875,451012.936071811,55043.4410878892,123253.959799662,-25944.0610844017,150021.696512016
411674.421346343,1018705.87943993,-28399.2346362241,-65386.1363874974,-7589.85984306924,-74116.0540016645
2609759.53917631,-397366.669860929,-338661.089967216,158230.775497425,54152.9448711934,-57258.04982365
-410135.4442894,30244.8378009051,18320.4823784263,-21299.2907151021,14631.3166252322,56136.689189808
-525820.143794277,15851.9527047094,-10340.4127538749,20078.8032376915,5239.55018974071,21894.2372380561
-507124.635356661,25317.6240301355,11979.3241303786,18242.9218219478,92043.0563034545,53551.5080413873
-530318.947355089,-8643.69940360629,34878.2597490581,-46230.1428768007,13802.6743183507,-2241.30973409139
-550385.815563234,924.010930592724,-34711.2407309714,48275.3707922414,-52038.4719905822,-18931.4729978181
443711.601819739,-272246.587648153,-653018.717206706,-156229.776150644,108978.768119976,-6224.00340436359
66522.6301374921,-174759.122135696,-336991.524300554,-50939.4777235197,55956.3927903175,20457.9609450228
-622868.736171705,11655.4322595073,-20489.6249086571,37862.2956721913,-15422.3848484907,30914.8984024075
-634072.218708441,-10702.0920504544,-14007.1368799314,2696.37872664515,70.6586047357405,66740.9648955131
175645.173334221,-347299.743548578,-96703.3561644904,84181.9922675985,-143602.406888942,-11712.3468145438
-123161.778491723,-89232.7019686186,-315807.233270208,-63300.7813396826,7865.73102131535,-7660.0634087595
-625343.926908768,-37264.5437409372,-56431.5763145752,84672.7757770724,-11694.6598404776,-9376.69327097062
-66752.3925773439,3410.09302328599,-32879.0075701594,68547.5844120718,-2695.75424780127,6058.85850233315
