"NMDS1","NMDS2","NMDS3","NMDS4","NMDS5","NMDS6"
-381170.757953787,174051.073780573,218864.691167767,-285521.017196789,413135.070670086,80615.344440782
-463881.439505221,97184.6541258002,72855.8555467531,-39855.1704772964,-235042.546348314,35270.8571162725
-445641.107951488,54245.407295198,72471.8505754315,-47073.3126708246,-63603.1058937991,-3537.81384348716
-440056.048722104,56898.1152751049,118955.645420143,-230393.574816664,-129502.040568624,-44358.1725763155
115943.608374685,-187739.763252863,514382.177715671,341384.899722398,-23661.0644398631,-78557.7334033005
-40933.2114091128,52085.0445100772,-117786.391836518,186354.429245108,84340.4525732351,-70604.9799764788
-457024.124498769,-15899.8911609837,-134706.133330169,288239.219962544,112529.108130611,-63154.8141571062
-356148.083146764,140015.835285788,-55227.0309552889,34686.1171173333,-116609.606218904,151609.689471683
-190092.757449628,197364.591088209,-93634.0297937003,-65854.5389720944,-95195.7267757054,9828.93416731114
-302128.432605447,117552.487106561,29443.0216009097,-86125.9371207545,-60803.1964422139,-156878.805853649
-587420.04101579,170036.482111995,44013.2032181898,-43172.8949440441,-135719.970213412,63380.807377668
-387444.566907263,34878.2366069748,30677.1334802274,-95269.9428873808,44910.8342987859,-12563.3532193685
-83307.3623224377,67595.0115882107,-84526.5237774491,100838.988447836,76691.2229122642,12378.1444381454
34325.5391717585,209720.928130265,-101087.772378809,-218.876988226722,-3281.23427981833,175454.742534139
1209541.43852308,229020.074549482,33488.4608585242,-50683.4135940175,-74833.1677052128,-4834.18662667406
1018263.88084207,134169.771546949,290246.297814588,104748.088101151,-35566.05042859,-84614.8510151158
949908.662649915,280263.357469267,-5992.20382787364,-171064.191286901,22669.6610075732,38672.9526002727
1030253.13091746,166527.154994956,253186.834594303,109303.347132356,-101485.3866251,55236.6492518651
1250040.67030992,310971.495945859,-316517.857523568,-46956.8466532806,16924.0798103227,33251.1515142321
153690.746766519,-16067.0878920051,-29884.9328640642,-68.9863380892436,172989.921909664,-161963.345457458
558623.696030302,-55823.9906628643,-119953.33044185,19516.967446095,-29025.8824782876,28330.9747040973
189078.265512912,-49549.3837909869,-259663.112045386,75283.6314376481,36522.3474336612,-6858.96248181804
53823.2536621909,-361458.82683419,-103652.074793433,-90687.6084714266,-32106.1291572029,54439.4100927787
282148.788885743,-333068.842776169,-410773.880360476,-188629.546381402,-58638.7403994246,-133873.080858956
146593.748213857,-340411.7838617,150.12676434422,131367.690313539,-9025.20959421957,84777.1521689127
21520.0179997201,-414534.108866882,-1179.98988066192,-27330.9282669412,-2639.14005315751,23589.5633682372
455366.840627412,-481636.375240127,187790.278830217,-33382.0715834728,-11501.2319297482,107303.458490365
-97545.6992120503,-312855.977844915,-56634.941743795,-35831.9739281289,67753.1679313454,23444.3119017216
-297208.499558515,-527215.681072736,-75327.9038709537,-94037.0153009838,1914.87234011876,43986.0408235498
483024.971249147,-395071.434188,50256.6220119502,-31310.3097936508,540.471609654945,68859.465861908
15863.638114105,-44769.0526054878,369762.164053863,-111957.298480873,104301.456181707,15684.0628654924
-491841.733298552,62111.1676181546,38570.1945990462,-83197.356961978,-183122.907046826,-106676.236334426
-508554.579804328,132341.096767534,90745.9112106701,-104437.546481951,-48657.5160657708,-39918.7689997522
342431.550198459,-66161.0060363042,-39240.285512071,-112327.615045736,-7943.93256960912,-158959.602032598
45726.4963845636,87357.8552722046,-83296.2897564661,-39319.074301603,38488.3830650852,-150685.428743611
-413650.184115863,84855.0851053403,-56023.9891222282,82025.1829384341,-20938.5703278346,35364.0052341588
-305358.533989185,70807.1009334878,49411.0023617509,72831.7411184547,109103.273163307,-7232.03210850521
-460518.367664953,193011.395621496,75690.079617584,-210731.404459623,97313.055431328,93182.695128677
-545128.953174539,95468.2716488662,-115812.210664351,191054.654130935,-111972.89914972,153783.533026954
-486977.92389344,22520.6633953382,58956.9007671136,30958.8743605003,-83413.856093086,-138646.112255124
-384233.009793905,117109.82922791,-90896.1626384035,189537.159642657,73713.7284710244,-16000.7564998442
58560.2034828451,147883.912846841,-136237.957623612,148677.773780094,82089.2335867307,86864.0662397963
-288463.729923532,96217.1062377715,-111863.44746792,218629.68850705,118358.77027794,-35388.9763754316
