"NMDS1","NMDS2","NMDS3","NMDS4","NMDS5","NMDS6"
-974341.103624457,552.275635342402,168220.085034758,430113.719500484,135452.236824345,-508964.863010525
-859761.760005488,66728.0613244614,106366.319496175,124275.552802705,-404.208099392704,287753.191043694
-872453.514104377,164323.969012632,78879.2983002832,128319.592599946,-48112.4866067711,75279.2750811993
-812882.943037045,237648.587560605,263113.707581704,190363.426421369,-125736.32112643,141470.911731097
-273754.583312245,-5546.86785630367,-658599.355139672,70625.0534256097,-364587.570156555,-112579.842916978
-659480.203305516,-387577.017708627,-151557.917730575,-226097.24123585,27737.8415060165,-76716.0894244222
-1134159.47895398,-232085.24768746,-328798.540349774,-281927.9207221,50475.1906261396,-84157.1505159654
24358.9929991057,304604.061725045,-589926.649677803,38324.47517262,124322.084446421,159459.5112779
-692155.43106134,-170235.453739673,202099.760600919,50042.2001265782,102624.59408325,125564.825982437
-943316.419749558,-130662.922823104,112372.623159735,63044.56153255,-116472.026596356,26173.07601704
-1132388.31178754,22655.1746564671,29112.1905545608,169791.217823765,77372.2192410822,241020.018670948
-793421.190653897,-40681.8731942008,110150.027823291,27943.2084141415,11936.4506095881,-61022.3084996682
164515.302604202,-67547.8612356713,-414841.999635373,-10891.6711903649,116631.799245515,-62798.8610095037
-444915.223170831,-234374.243080587,31915.1388044253,-49830.2057038026,301032.849415337,41100.466147119
2323499.27095112,-841903.869181251,205282.433761498,241249.766684979,-144966.112143613,71863.9875349965
2060094.85711418,-787352.991080282,-111973.086780673,261643.616996652,-137012.133756412,-60321.236115109
674858.854594972,-520092.793158307,372731.99674397,199026.350771324,-168725.032277813,818.519782292227
1590175.39460064,-785992.159595063,-72707.4991443937,173427.752545188,-21641.6401713582,194528.183291787
2059308.8584406,-1055760.45561241,399362.398969652,-101440.63370298,232261.662071117,-47808.5558581291
135425.014016722,-159848.274761353,114306.040802982,6609.36560577875,-14188.6986392397,-155093.657644301
377168.797650256,-201760.518077432,150096.107989474,-164343.219213499,-3982.48479226751,37350.6865191027
102907.980805162,-295186.603079262,355277.901955844,-276388.037546814,76710.1403386974,26279.8150201468
-249815.017187157,321584.678623982,115522.472112352,-348187.265992466,-145073.472495397,-84032.6930306049
-128298.292670716,17559.392919428,452518.788123079,-596568.24601388,-223860.888016573,-16206.0914017659
528658.424817966,-99295.3696266042,-42193.5101868872,-442487.038485977,-27028.6221429872,5191.93630370001
1135748.93557717,1237003.21696122,157892.369329215,44432.5669100285,-29958.467902585,12900.2891453016
1482959.8327563,1023618.97476305,186738.476569497,151251.190670648,64473.4480343624,26771.4046170965
1738179.92277915,1063152.3942276,258659.061423732,87710.2356949114,204805.872030661,-46046.9850104413
-110274.118110254,1420524.94206119,445823.617752233,-74509.8541889799,-86990.7360484789,-22891.9740166129
3149294.02801465,698630.102844605,-594913.447581021,-194878.333958336,83748.8772740097,-5682.93815942879
-315566.060727325,135324.845444113,-95521.1761093214,249699.255515267,-137455.532486931,-226777.308687054
-990780.523611354,90378.293880841,78160.4341799922,73579.6063900414,-128330.351819614,168302.638528005
-1002072.06867743,37749.8657421665,139999.211572915,223457.814215894,-67443.0821717472,70980.6978185806
-137348.544732608,-194573.058998967,87677.1762027135,-237037.722955316,-197479.099864302,-122526.385652028
-508578.111199846,-283653.177050603,53762.415621273,-125602.000394188,-54542.6376222363,-67471.1124205661
-40090.2829499914,285859.430411051,-622404.668029114,-10953.9328219902,-75413.0824062483,55963.0595310034
-283468.505687544,77414.5428966402,-393762.552597857,90438.5272811808,20514.0449108759,-98603.4434335458
-1029991.06062411,57350.819607704,175901.553184815,251027.312415185,152420.616035215,-116575.233488175
-1223484.66979827,-36252.0304869631,-80204.3707361139,-108848.379411604,209580.028084491,142220.673526408
-254749.958859238,-116100.852094252,-212881.720993029,142403.154417057,-54938.1798942243,198039.378258155
-606939.031949264,-74483.0124151897,-329493.385963238,-15685.5613484029,33857.6447307259,-38531.4915521416
-583527.86548845,-373595.145882452,-59114.4463001222,-160947.697361972,250629.603678904,-61884.5245150259
-489140.192682354,-168101.83187213,-93047.2806961218,-62174.5616853791,97755.6640507792,-32339.7994660179
